,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,City Council District,Agency,Site,BBL,Address,Borough,Environmental Justice Zone*,Installation date,Installed  Capacity,Percentage of Max Peak Demand,Estimated Annual Production,Percentage of Annual Electricity Consumption,Estimated Annual Emissions Reduction,Estimated Social Cost of Carbon Value**,Estimated Annual Energy Savings***,Upfront Project Cost,Financing Mechanism
45,45,45,45,45,45,45,46,DOE,K278,3084960100,1925 Stuart St,Brooklyn,0,4/12/2016,120.8 kW,21%,"141,922 kWh",18%,37 MT CO2,"$4,878","$12,869","$503,268",Capital
46,46,46,46,46,46,46,46,DOE,K515,3079980005,6565 Flatlands Ave,Brooklyn,EJZ,4/12/2016,590.2 kW,36%,"692,800 kWh",33%,180 MT CO2,"$23,813","$56,063","$2,617,082",Capital
47,47,47,47,47,47,47,49,DOE,R013,5028520001,191 Vermont Avenue,Staten Island,EJZ,9/1/2005,4.0 kW,1%,"4,695 kWh",1%,1 MT CO2,$161,$491,"$18,520",Capital
48,48,48,48,48,48,48,49,DOE,R014,5005450110,100 Tompkins Ave,Staten Island,EJZ,12/1/2006,4.0 kW,1%,"4,695 kWh",1%,1 MT CO2,$161,$491,"$18,520",Capital
49,49,49,49,49,49,49,49,DOE,R445,5011210001,85 St. Joseph's Avenue,Staten Island,0,4/15/2016,120.8 kW,12%,"141,776 kWh",8%,37 MT CO2,"$4,873","$12,856","$545,104",Capital
50,50,50,50,50,50,50,49,DOT,St. George Ferry Terminal,5000020001,1 Bay St.,Staten Island,EJZ,12/30/2014,219.4 kW,15%,"257,540 kWh",4%,67 MT CO2,"$8,852","-$64,829",$0,PPA
51,51,51,51,51,51,51,49,DEP,Port Richmond WWTP,5001850400,1801 Richmond Ter,Staten Island,EJZ,6/1/2015,"1,264.3 kW",21%,"1,484,027 kWh",5%,386 MT CO2,"$51,009","-$379,021",$0,PPA
52,52,52,52,52,52,52,51,FDNY,Engine Co. 168,5070670252,1100 Rossville Ave,Staten Island,EJZ,3/22/2012,34.6 kW,30%,"40,615 kWh",16%,11 MT CO2,"$1,396","$4,251","$441,503",Capital
53,53,53,53,53,53,53,51,DOE,R075,5060500002,455 Huguenot Avenue,Staten Island,0,4/15/2016,129.7 kW,15%,"152,218 kWh",15%,40 MT CO2,"$5,232","$13,803","$568,796",Capital
54,54,54,54,54,54,54,51,DOE,R069,5023660073,144 Keating Pl,Staten Island,0,4/20/2015,203.1 kW,29%,"238,442 kWh",36%,62 MT CO2,"$8,196","$21,621","$905,386",Capital
55,55,55,55,55,55,55,51,DOE,R455,5066130001,100 Luten Ave,Staten Island,0,4/15/2016,532.5 kW,32%,"625,105 kWh",22%,163 MT CO2,"$21,486","$50,585","$2,218,953",Capital
56,56,56,56,56,56,56,51,DOE,R062 - NET ZERO,5070920039,644 Bloomingdale Road,Staten Island,0,9/1/2015,600.0 kW,56%,"704,304 kWh",87%,183 MT CO2,"$24,208","$56,994","$2,778,000",Capital
